,,,,,,,,,
,Fases,DESCRIPCIÓN,UN.,"P.U.
[Bs]",CANT,,COMBOS,,
,Materiales,,, -   , -   ,,,,
,CEMENTO PORTLAND VIACHA,,kg, 3.24 , 0.01 ,,,,
,ARENA FINA,,m³, 6.00 , 0.00 ,,,,
,CEMENTO BLANCO,,kg, 0.29 , 0.01 ,,,,
,CERAMICA  NAL. 20X30,,m², 2.30 , 0.04 ,,,,
,,,, -   , -   ,,,,
,4,PUERTA DE MADERA 0.90 X 2.10 MTS,pza, 67.22 , 0.04 ,,,,
,4,PUERTA DE MADERA 0.80 X 2.10 MTS,pza, 57.31 , 0.16 ,,,,
,4,PUERTA DE MADERA 0.70 X 2.10 MTS,pza, 54.77 , 0.32 ,,,,
,4,"VENTANA METALICA (ANGULAR 1""X1/8"")",m², 21.70 , 0.32 ,,,,
,4,PINTURA LATEX INTERIOR,m², 1.00 , 13.41 ,,,,
,4,PINTURA LATEX EXTERIOR,m², 1.28 , 8.96 ,,,,
,4,BASE PARA DUCHA,pza, 34.14 , 0.12 ,,,,
,4,LAVAMANOS MAS ACCESORIOS,pza, 43.69 , 0.16 ,,,,
,4,INODORO,pza, 42.86 , 0.16 ,,,,
,4,LAVAPLATOS 1 DEP.,pza, 44.02 , 0.04 ,,,,
,4,LAVAROPA 1 DEP.,pza, 32.06 , 0.04 ,,,,
,4,MESON PARA COCINA DE H°A° c/revestimiento cerámico,m², 14.02 , 0.10 ,,,,
,4,CÁMARA DE INSPECCIÓN (60 x 60) - H°C° 70% P.D.,pza, 39.62 , 0.12 ,,,,
,4,TAPAS DE HORMIGÓN ARMADO (70x70) - e = 7 cm,pza, 12.37 , 0.12 ,,,,
,4,INSTALACION ELECTRICA (CAJA MAS TERMICOS y PILASTRA),glb, 157.22 , 0.08 ,,,,
,4,PUNTO DE ILUMINACION INCANDESCENTE,pto, 4.97 , 0.48 ,,,,
,4,TOMACORRIENTES DOBLES,pto, 4.56 , 0.60 ,,,,
,4,INTERRUPTORES,pto, 3.03 , 0.48 ,,,,
